year,country,total,male,female
2024,ABW,0,0,0
2024,AFG,581,427,154
2024,AGO,79,50,29
2024,AIA,4,1,3
2024,ALB,772,428,344
2024,AND,133,83,50
2024,ANT,2,1,1
2024,ARE,6212,3506,2706
2024,ARG,6630,3410,3220
2024,ARM,910,392,518
2024,ATA,1,1,0
2024,ATG,199,127,72
2024,AUS,357525,204146,153379
2024,AUT,13701,8278,5423
2024,AZE,2178,1163,1015
2024,BDI,60,40,20
2024,BEL,25545,14365,11180
2024,BEN,154,108,46
2024,BFA,106,91,15
2024,BGD,334011,302171,31840
2024,BGR,3930,2117,1813
2024,BHR,2533,1353,1180
2024,BHS,109,54,55
2024,BIH,951,564,387
2024,BLR,4687,2159,2528
2024,BLZ,127,79,48
2024,BMU,4,0,4
2024,BOL,386,199,187
2024,BRA,14521,8134,6387
2024,BRB,118,55,63
2024,BRN,1435830,770544,665286
2024,BTN,857,551,306
2024,BVT,0,0,0
2024,BWA,184,79,105
2024,CAF,5,4,1
2024,CAN,81656,45706,35950
2024,CCK,1,0,1
2024,CHE,26591,15401,11190
2024,CHL,4236,2134,2102
2024,CHN,3211029,1500452,1710577
2024,CIV,271,177,94
2024,CMR,374,230,144
2024,COD,222,153,69
2024,COG,32,21,11
2024,COK,0,0,0
2024,COL,2834,1485,1349
2024,COM,227,137,90
2024,CPV,33,19,14
2024,CRI,905,503,402
2024,CUB,336,181,155
2024,CYM,1,0,1
2024,CYP,1071,670,401
2024,CZE,10299,5638,4661
2024,DEU,145502,85052,60450
2024,DJI,160,84,76
2024,DMA,642,471,171
2024,DNK,19277,11339,7938
2024,DOM,217,107,110
2024,DZA,15158,9111,6047
2024,ECU,1098,507,591
2024,EGY,23158,15674,7484
2024,ERI,208,115,93
2024,ESP,61861,33091,28770
2024,EST,3067,1573,1494
2024,ETH,564,363,201
2024,FIN,9590,5307,4283
2024,FJI,2353,1167,1186
2024,FRA,166747,93628,73119
2024,FSM,31,15,16
2024,GAB,128,60,68
2024,GBR,345519,202624,142895
2024,GEO,769,403,366
2024,GHA,1480,970,510
2024,GIB,3,2,1
2024,GIN,775,551,224
2024,GLP,0,0,0
2024,GMB,293,199,94
2024,GNB,7,5,2
2024,GNQ,24,14,10
2024,GRC,4040,2656,1384
2024,GRD,204,139,65
2024,GRL,2,1,1
2024,GTM,325,196,129
2024,GUM,1,0,1
2024,GUY,121,72,49
2024,HKG,16304,7244,9060
2024,HMD,0,0,0
2024,HND,233,141,92
2024,HRV,2855,1767,1088
2024,HTI,148,96,52
2024,HUN,9185,5001,4184
2024,IDN,3596939,1652232,1944707
2024,IND,1214148,792450,421698
2024,IOT,3,1,2
2024,IRL,22017,12949,9068
2024,IRN,24558,12798,11760
2024,IRQ,17013,10831,6182
2024,ISL,481,266,215
2024,ISR,12,9,3
2024,ITA,71702,41745,29957
2024,JAM,328,146,182
2024,JOR,11036,6584,4452
2024,JPN,343665,203932,139733
2024,KAZ,32171,12673,19498
2024,KEN,6050,2901,3149
2024,KGZ,4944,2347,2597
2024,KHM,69226,34910,34316
2024,KIR,23,9,14
2024,KNA,916,677,239
2024,KOR,477791,234886,242905
2024,KWT,10684,5691,4993
2024,LAO,23640,5160,18480
2024,LBN,3713,2299,1414
2024,LBR,117,92,25
2024,LBY,3950,2786,1164
2024,LCA,220,155,65
2024,LIE,107,66,41
2024,LKA,54385,33169,21216
2024,LSO,74,36,38
2024,LTU,6897,3297,3600
2024,LUX,968,553,415
2024,LVA,2768,1380,1388
2024,MAC,69,18,51
2024,MAR,22622,11553,11069
2024,MCO,42,32,10
2024,MDA,489,224,265
2024,MDG,1482,631,851
2024,MDV,33465,17699,15766
2024,MEX,10059,4964,5095
2024,MHL,42,32,10
2024,MKD,723,366,357
2024,MLI,157,109,48
2024,MLT,709,418,291
2024,MMR,145642,63385,82257
2024,MNE,234,167,67
2024,MNG,7469,3072,4397
2024,MNP,0,0,0
2024,MOZ,450,224,226
2024,MRT,304,226,78
2024,MUS,17485,8970,8515
2024,MWI,268,150,118
2024,MYT,0,0,0
2024,NAM,195,111,84
2024,NCL,1,1,0
2024,NER,40,28,12
2024,NGA,5137,3915,1222
2024,NIC,120,55,65
2024,NLD,82214,46774,35440
2024,NOR,12740,7379,5361
2024,NPL,84889,75689,9200
2024,NRU,23,18,5
2024,NZL,47050,27519,19531
2024,OMN,22311,12185,10126
2024,PAK,116427,92949,23478
2024,PAN,401,189,212
2024,PER,1967,1006,961
2024,PHL,506081,178985,327096
2024,PLW,33,24,9
2024,PNG,1285,660,625
2024,POL,30034,15567,14467
2024,PRI,1,0,1
2024,PRK,1,1,0
2024,PRT,13680,7505,6175
2024,PRY,203,99,104
2024,PSE,4140,2789,1351
2024,QAT,2438,1516,922
2024,REU,0,0,0
2024,ROU,10911,5660,5251
2024,RUS,106814,51946,54868
2024,RWA,121,75,46
2024,SAU,59396,33243,26153
2024,SDN,13126,7582,5544
2024,SEN,802,541,261
2024,SGP,15049829,8468015,6581814
2024,SGS,0,0,0
2024,SHN,2,1,1
2024,SLB,236,116,120
2024,SLE,391,236,155
2024,SLV,215,119,96
2024,SMR,43,31,12
2024,SOM,2497,1401,1096
2024,SPM,1,0,1
2024,SRB,1970,964,1006
2024,SSD,367,211,156
2024,STP,8,4,4
2024,SUR,317,181,136
2024,SVK,5881,3145,2736
2024,SVN,3380,1770,1610
2024,SWE,18498,10676,7822
2024,SWZ,335,161,174
2024,SYC,1179,464,715
2024,SYR,8012,4985,3027
2024,TCA,2,0,2
2024,TCD,375,287,88
2024,TGO,121,89,32
2024,THA,1962819,1012595,950224
2024,TJK,2103,1466,637
2024,TKL,0,0,0
2024,TKM,6829,3720,3109
2024,TLS,2687,1440,1247
2024,TON,220,118,102
2024,TTO,463,241,222
2024,TUN,10721,5420,5301
2024,TUR,25067,16630,8437
2024,TUV,10,4,6
2024,TWN,369188,170252,198936
2024,TZA,2486,1240,1246
2024,UGA,2543,1116,1427
2024,UKR,13611,6443,7168
2024,URY,839,392,447
2024,USA,256745,148421,108324
2024,UZB,17210,10506,6704
2024,VAT,9,8,1
2024,VCT,31,23,8
2024,VEN,1243,674,569
2024,VNM,343800,112416,231384
2024,VUT,1455,1213,242
2024,WSM,43,18,25
2024,XXX,689,415,274
2024,YEM,15000,10331,4669
2024,ZAF,16785,9319,7466
2024,ZAR,23,11,12
2024,ZMB,895,460,435
2024,ZWE,1943,890,1053
2024,MYS,0,0,0
