state,year,population
Johor,2016,3651.8
Johor,2016,295.8
Johor,2016,285.2
Johor,2016,305.6
Johor,2016,324.6
Johor,2016,347.1
Johor,2016,342.1
Johor,2016,322.1
Johor,2016,265.7
Johor,2016,232.7
Johor,2016,212.5
Johor,2016,191.2
Johor,2016,163.6
Johor,2016,126.5
Johor,2016,95.2
Johor,2016,60
Johor,2016,41.6
Johor,2016,21.4
Johor,2016,19.1
Johor,2017,3697
Johor,2017,296.8
Johor,2017,286.5
Johor,2017,300.1
Johor,2017,325.6
Johor,2017,353.8
Johor,2017,342.8
Johor,2017,323.9
Johor,2017,276.4
Johor,2017,233.8
Johor,2017,215
Johor,2017,194.1
Johor,2017,167.9
Johor,2017,132
Johor,2017,98.9
Johor,2017,64.5
Johor,2017,42
Johor,2017,23.3
Johor,2017,19.6
Johor,2018,3749.4
Johor,2018,298.9
Johor,2018,289.8
Johor,2018,295.7
Johor,2018,327.6
Johor,2018,360.9
Johor,2018,344.8
Johor,2018,323.4
Johor,2018,288.3
Johor,2018,235.9
Johor,2018,217.9
Johor,2018,196.6
Johor,2018,171.9
Johor,2018,137.9
Johor,2018,102.4
Johor,2018,69.7
Johor,2018,42
Johor,2018,25.7
Johor,2018,20
Johor,2019,3761.2
Johor,2019,301.2
Johor,2019,290.5
Johor,2019,290.3
Johor,2019,325.6
Johor,2019,361.3
Johor,2019,338.8
Johor,2019,318.1
Johor,2019,294.2
Johor,2019,238.2
Johor,2019,218.4
Johor,2019,197.5
Johor,2019,174.3
Johor,2019,142.5
Johor,2019,105.3
Johor,2019,74.1
Johor,2019,42.9
Johor,2019,27.4
Johor,2019,20.6
Johor,2020,4009.7
Johor,2020,306.3
Johor,2020,322.3
Johor,2020,330.7
Johor,2020,345.2
Johor,2020,388.9
Johor,2020,362.6
Johor,2020,338.1
Johor,2020,318.1
Johor,2020,260.1
Johor,2020,234.3
Johor,2020,212.1
Johor,2020,189.1
Johor,2020,157.2
Johor,2020,94.9
Johor,2020,66
Johor,2020,38.1
Johor,2020,24.7
Johor,2020,20.9
Johor,2021,4020
Johor,2021,296.6
Johor,2021,318.8
Johor,2021,333.9
Johor,2021,335.9
Johor,2021,391.3
Johor,2021,361.1
Johor,2021,335.4
Johor,2021,319.2
Johor,2021,267
Johor,2021,235.2
Johor,2021,214
Johor,2021,191.8
Johor,2021,161.4
Johor,2021,104.2
Johor,2021,68.4
Johor,2021,39.9
Johor,2021,25.3
Johor,2021,20.8
Johor,2022,4028.3
