year,sex,Total
1970,both,6097.5
1970,female,3024.6000000000004
1970,male,3072.7
1971,both,6215.299999999999
1971,female,3086.4
1971,male,3129
1972,both,6332.8
1972,female,3148.4000000000005
1972,male,3184.3
1973,both,6445.3
1973,female,3208
1973,male,3237.2999999999997
1974,both,6559.099999999999
1974,female,3267.7
1974,male,3291.4000000000005
1975,both,6683
1975,female,3333
1975,male,3350
1976,both,6796.599999999999
1976,female,3392.7
1976,male,3403.9000000000005
1977,both,6924.9
1977,female,3459.3
1977,male,3465.6000000000004
1978,both,7041.4
1978,female,3520.3
1978,male,3521.1000000000004
1979,both,7168.199999999999
1979,female,3586.3
1979,male,3581.8999999999996
1980,both,7314.9
1980,female,3661.0999999999995
1980,male,3653.6000000000004
1981,both,7468.6
1981,female,3738.3
1981,male,3730.2999999999997
1982,both,7630.2
1982,female,3817.5
1982,male,3812.6
1983,both,7790.700000000001
1983,female,3895.7999999999997
1983,male,3894.5999999999995
1984,both,7950.5
1984,female,3973.2
1984,male,3977.4000000000005
1985,both,8122.900000000001
1985,female,4056.8
1985,male,4066.1000000000004
1986,both,8299.1
1986,female,4140.9
1986,male,4158
1987,both,8472.7
1987,female,4223.400000000001
1987,male,4249.3
1988,both,8642.3
1988,female,4302.400000000001
1988,male,4339.7
1989,both,8808
1989,female,4379.4
1989,male,4428.7
1990,both,8973.8
1990,female,4455.599999999999
1990,male,4518.2
1991,both,9127.699999999999
1991,female,4538.8
1991,male,4588.6
1992,both,9299.5
1992,female,4617.3
1992,male,4682.3
1993,both,9473.300000000001
1993,female,4696.400000000001
1993,male,4777.1
1994,both,9646.4
1994,female,4775.4
1994,male,4871
1995,both,9817.5
1995,female,4853.8
1995,male,4963.8
1996,both,9985.7
1996,female,4930.900000000001
1996,male,5055
1997,both,10155.599999999999
1997,female,5008.3
1997,male,5147.300000000001
1998,both,10330.8
1998,female,5089
1998,male,5241.799999999999
1999,both,10512.400000000001
1999,female,5173.5
1999,male,5338.9
2000,both,10696
2000,female,5258.8
2000,male,5437.3
2001,both,10919.6
2001,female,5360
2001,male,5559.800000000001
2002,both,11130
2002,female,5454.2
2002,male,5675.6
2003,both,11328.9
2003,female,5542.799999999999
2003,male,5786
2004,both,11526.6
2004,female,5632.7
2004,male,5894.1
2005,both,11720.5
2005,female,5719.5
2005,male,6001
2006,both,11912
2006,female,5805.400000000001
2006,male,6106.700000000001
2007,both,12100.899999999998
2007,female,5889.6
2007,male,6211.1
2008,both,12285.6
2008,female,4819.5
2008,male,5134.599999999999
2009,both,10109.1
2009,female,4888
2009,male,5221.1
2010,both,10257.1
2010,female,4953.4
2010,male,5303.8
2011,both,10408.5
2011,female,5025.599999999999
2011,male,5382.900000000001
2012,both,10550.5
2012,female,5088.5
2012,male,5462.1
2013,both,10695.300000000001
2013,female,5156.3
2013,male,5538.8
2014,both,10888.900000000001
2014,female,5241.6
2014,male,5647.5
2015,both,11053.099999999999
2015,female,5322.8
2015,male,5730.299999999999
2016,both,11195.3
2016,female,5392.2
2016,male,5803.2
2017,both,11344
2017,female,5465.4
2017,male,5878.7
2018,both,11482.9
2018,female,5537.7
2018,male,5945.3
2019,both,11544.7
2019,female,5583.3
2019,male,5961.599999999999
2020,both,11723.3
2020,female,5601.5
2020,male,6121.8
2021,both,11794.2
2021,female,5650.999999999999
2021,male,6142.9
2022,both,11852.8
2022,female,5687.599999999999
2022,male,6164.8
2023,both,12052.7
2023,female,5760
2023,male,6292.699999999999
2024,both,12247.7
2024,female,5830.000000000001
2024,male,6417.599999999999
