state,year,sex,population
Johor,1970,both,1326
Johor,1970,female,657
Johor,1970,male,669
Johor,1971,both,1355
Johor,1971,female,672
Johor,1971,male,684
Johor,1972,both,1385
Johor,1972,female,687
Johor,1972,male,698
Johor,1973,both,1414
Johor,1973,female,702
Johor,1973,male,713
Johor,1974,both,1444
Johor,1974,female,717
Johor,1974,male,728
Johor,1975,both,1477
Johor,1975,female,733
Johor,1975,male,744
Johor,1976,both,1508
Johor,1976,female,749
Johor,1976,male,760
Johor,1977,both,1542
Johor,1977,female,766
Johor,1977,male,776
Johor,1978,both,1573
Johor,1978,female,781
Johor,1978,male,792
Johor,1979,both,1606
Johor,1979,female,798
Johor,1979,male,808
Johor,1980,both,1646
Johor,1980,female,817
Johor,1980,male,829
Johor,1981,both,1689
Johor,1981,female,836
Johor,1981,male,853
Johor,1982,both,1735
Johor,1982,female,856
Johor,1982,male,878
Johor,1983,both,1780
Johor,1983,female,877
Johor,1983,male,904
Johor,1984,both,1826
Johor,1984,female,897
Johor,1984,male,928
Johor,1985,both,1876
Johor,1985,female,921
Johor,1985,male,955
Johor,1986,both,1926
Johor,1986,female,944
Johor,1986,male,982
Johor,1987,both,1978
Johor,1987,female,969
Johor,1987,male,1009
Johor,1988,both,2031
Johor,1988,female,994
Johor,1988,male,1037
Johor,1989,both,2086
Johor,1989,female,1020
Johor,1989,male,1066
Johor,1990,both,2140
Johor,1990,female,1045
Johor,1990,male,1094
Johor,1991,both,2188
Johor,1991,female,1069
Johor,1991,male,1119
Johor,1992,both,2249
Johor,1992,female,1097
Johor,1992,male,1152
Johor,1993,both,2313
Johor,1993,female,1126
Johor,1993,male,1187
Johor,1994,both,2378
Johor,1994,female,1156
Johor,1994,male,1222
Johor,1995,both,2441
Johor,1995,female,1185
Johor,1995,male,1257
Johor,1996,both,2504
Johor,1996,female,1213
Johor,1996,male,1291
Johor,1997,both,2568
Johor,1997,female,1242
Johor,1997,male,1325
Johor,1998,both,2632
Johor,1998,female,1272
Johor,1998,male,1360
Johor,1999,both,2699
Johor,1999,female,1304
Johor,1999,male,1396
Johor,2000,both,2762
Johor,2000,female,1332
Johor,2000,male,1430
Johor,2001,both,2830
Johor,2001,female,1362
Johor,2001,male,1468
Johor,2002,both,2894
Johor,2002,female,1389
Johor,2002,male,1505
Johor,2003,both,2954
Johor,2003,female,1414
Johor,2003,male,1540
Johor,2004,both,3015
Johor,2004,female,1440
Johor,2004,male,1574
Johor,2005,both,3074
Johor,2005,female,1466
Johor,2005,male,1609
Johor,2006,both,3134
Johor,2006,female,1492
Johor,2006,male,1643
Johor,2007,both,3194
Johor,2007,female,1517
Johor,2007,male,1677
Johor,2008,both,3252
Johor,2008,female,1542
Johor,2008,male,1710
Johor,2009,both,3309
Johor,2009,female,1566
Johor,2009,male,1743
Johor,2010,both,3363
Johor,2010,female,1589
Johor,2010,male,1774
Johor,2011,both,3410
Johor,2011,female,1611
Johor,2011,male,1799
Johor,2012,both,3450
Johor,2012,female,1629
Johor,2012,male,1822
Johor,2013,both,3474
Johor,2013,female,1644
Johor,2013,male,1830
Johor,2014,both,3560
Johor,2014,female,1676
Johor,2014,male,1883
Johor,2015,both,3610
Johor,2015,female,1700
Johor,2015,male,1910
Johor,2016,both,3652
Johor,2016,female,1721
Johor,2016,male,1931
Johor,2017,both,3697
Johor,2017,female,1744
Johor,2017,male,1953
Johor,2018,both,3749
Johor,2018,female,1773
Johor,2018,male,1976
Johor,2019,both,3761
Johor,2019,female,1787
Johor,2019,male,1975
Johor,2020,both,4010
Johor,2020,female,1868
Johor,2020,male,2141
Johor,2021,both,4020
Johor,2021,female,1881
Johor,2021,male,2139
Johor,2022,both,4028
Johor,2022,female,1890
Johor,2022,male,2138
Johor,2023,both,4107
Johor,2023,female,1915
Johor,2023,male,2192
Johor,2024,both,4184
Johor,2024,female,1939
Johor,2024,male,2246
Johor,2025,both,4206
Johor,2025,female,1951
Johor,2025,male,2254
Kedah,1970,both,990
Kedah,1970,female,490
Kedah,1970,male,500
Kedah,1971,both,1004
Kedah,1971,female,498
Kedah,1971,male,506
Kedah,1972,both,1017
Kedah,1972,female,506
Kedah,1972,male,512
Kedah,1973,both,1029
Kedah,1973,female,513
Kedah,1973,male,516
Kedah,1974,both,1041
Kedah,1974,female,520
Kedah,1974,male,521
Kedah,1975,both,1055
Kedah,1975,female,528
Kedah,1975,male,527
Kedah,1976,both,1065
Kedah,1976,female,535
Kedah,1976,male,531
Kedah,1977,both,1080
Kedah,1977,female,543
Kedah,1977,male,537
Kedah,1978,both,1091
Kedah,1978,female,550
Kedah,1978,male,541
Kedah,1979,both,1103
Kedah,1979,female,557
Kedah,1979,male,546
Kedah,1980,both,1120
Kedah,1980,female,567
Kedah,1980,male,553
Kedah,1981,both,1140
Kedah,1981,female,576
Kedah,1981,male,564
Kedah,1982,both,1162
Kedah,1982,female,586
Kedah,1982,male,576
Kedah,1983,both,1184
Kedah,1983,female,596
Kedah,1983,male,588
Kedah,1984,both,1206
Kedah,1984,female,607
Kedah,1984,male,600
Kedah,1985,both,1231
Kedah,1985,female,619
Kedah,1985,male,612
Kedah,1986,both,1256
Kedah,1986,female,632
Kedah,1986,male,625
Kedah,1987,both,1281
Kedah,1987,female,644
Kedah,1987,male,637
Kedah,1988,both,1305
Kedah,1988,female,656
Kedah,1988,male,649
Kedah,1989,both,1329
Kedah,1989,female,668
Kedah,1989,male,661
Kedah,1990,both,1352
Kedah,1990,female,680
Kedah,1990,male,672
Kedah,1991,both,1371
Kedah,1991,female,693
Kedah,1991,male,678
Kedah,1992,both,1402
Kedah,1992,female,708
Kedah,1992,male,694
Kedah,1993,both,1434
Kedah,1993,female,724
Kedah,1993,male,710
Kedah,1994,both,1467
Kedah,1994,female,740
Kedah,1994,male,727
Kedah,1995,both,1500
Kedah,1995,female,756
Kedah,1995,male,744
Kedah,1996,both,1533
Kedah,1996,female,773
Kedah,1996,male,760
Kedah,1997,both,1567
Kedah,1997,female,789
Kedah,1997,male,778
Kedah,1998,both,1601
Kedah,1998,female,806
Kedah,1998,male,795
Kedah,1999,both,1636
Kedah,1999,female,824
Kedah,1999,male,813
Kedah,2000,both,1672
Kedah,2000,female,842
Kedah,2000,male,830
Kedah,2001,both,1704
Kedah,2001,female,856
Kedah,2001,male,848
Kedah,2002,both,1735
Kedah,2002,female,869
Kedah,2002,male,865
Kedah,2003,both,1764
Kedah,2003,female,882
Kedah,2003,male,882
Kedah,2004,both,1792
Kedah,2004,female,895
Kedah,2004,male,897
Kedah,2005,both,1820
Kedah,2005,female,907
Kedah,2005,male,913
Kedah,2006,both,1848
Kedah,2006,female,919
Kedah,2006,male,928
Kedah,2007,both,1874
Kedah,2007,female,931
Kedah,2007,male,943
Kedah,2008,both,1900
Kedah,2008,female,942
Kedah,2008,male,958
Kedah,2009,both,1925
Kedah,2009,female,953
Kedah,2009,male,972
Kedah,2010,both,1949
Kedah,2010,female,964
Kedah,2010,male,986
Kedah,2011,both,1972
Kedah,2011,female,975
Kedah,2011,male,997
Kedah,2012,both,2001
Kedah,2012,female,989
Kedah,2012,male,1012
Kedah,2013,both,2040
Kedah,2013,female,1005
Kedah,2013,male,1035
Kedah,2014,both,2063
Kedah,2014,female,1016
Kedah,2014,male,1046
Kedah,2015,both,2096
Kedah,2015,female,1033
Kedah,2015,male,1063
Kedah,2016,both,2120
Kedah,2016,female,1044
Kedah,2016,male,1076
Kedah,2017,both,2144
Kedah,2017,female,1055
Kedah,2017,male,1089
Kedah,2018,both,2163
Kedah,2018,female,1065
Kedah,2018,male,1098
Kedah,2019,both,2174
