state,sex,year,population
Johor,Both,2016,3651.8
Johor,female,2016,1720.7
Johor,Male,2016,1931.1
Johor,Both,2017,3697
Johor,female,2017,1744.5
Johor,Male,2017,1952.6
Johor,Both,2018,3749.4
Johor,female,2018,1773
Johor,Male,2018,1976.4
Johor,Both,2019,3761.2
Johor,female,2019,1786.6
Johor,Male,2019,1974.6
Johor,Both,2020,4009.7
Johor,female,2020,1868.4
Johor,Male,2020,2141.3
Johor,Both,2021,4020
Johor,female,2021,1881.1
Johor,Male,2021,2138.8
Johor,Both,2022,4028.3
Johor,female,2022,1890
Johor,Male,2022,2138.2
Johor,Both,2023,4107.2
Johor,female,2023,1914.8
Johor,Male,2023,2192.4
Johor,Both,2024,4184.4
Johor,female,2024,1938.7
Johor,Male,2024,2245.6
Johor,Both,2025,4205.9
Johor,female,2025,1951.4
Johor,Male,2025,2254.5
Kedah,Both,2016,2119.7
Kedah,female,2016,1044.1
Kedah,Male,2016,1075.6
Kedah,Both,2017,2143.9
Kedah,female,2017,1055.2
Kedah,Male,2017,1088.7
Kedah,Both,2018,2163
Kedah,female,2018,1065.1
Kedah,Male,2018,1097.8
Kedah,Both,2019,2173.7
Kedah,female,2019,1072.3
Kedah,Male,2019,1101.5
Kedah,Both,2020,2131.4
Kedah,female,2020,1044.1
Kedah,Male,2020,1087.3
Kedah,Both,2021,2151.7
Kedah,female,2021,1055.9
Kedah,Male,2021,1095.8
Kedah,Both,2022,2163.1
Kedah,female,2022,1061.9
Kedah,Male,2022,1101.2
Kedah,Both,2023,2189.3
Kedah,female,2023,1073.2
Kedah,Male,2023,1116.1
Kedah,Both,2024,2217.1
Kedah,female,2024,1084.5
Kedah,Male,2024,1132.6
Kedah,Both,2025,2228
Kedah,female,2025,1090.9
Kedah,Male,2025,1137.1
Kelantan,Both,2016,1796.7
Kelantan,female,2016,890.1
Kelantan,Male,2016,906.7
Kelantan,Both,2017,1829
Kelantan,female,2017,905.8
Kelantan,Male,2017,923.2
Kelantan,Both,2018,1860.5
Kelantan,female,2018,920.6
Kelantan,Male,2018,939.9
Kelantan,Both,2019,1883.8
Kelantan,female,2019,931.7
Kelantan,Male,2019,952.1
Kelantan,Both,2020,1792.5
Kelantan,female,2020,892.4
Kelantan,Male,2020,900.1
Kelantan,Both,2021,1812.3
Kelantan,female,2021,902.6
Kelantan,Male,2021,909.7
Kelantan,Both,2022,1830.6
Kelantan,female,2022,912
Kelantan,Male,2022,918.5
Kelantan,Both,2023,1859.8
Kelantan,female,2023,925.8
Kelantan,Male,2023,934
Kelantan,Both,2024,1887.9
Kelantan,female,2024,939
Kelantan,Male,2024,949
Kelantan,Both,2025,1907.7
Kelantan,female,2025,948.9
Kelantan,Male,2025,958.8
Melaka,Both,2016,901.1
Melaka,female,2016,447.7
Melaka,Male,2016,453.4
Melaka,Both,2017,913.1
Melaka,female,2017,453.9
Melaka,Male,2017,459.2
Melaka,Both,2018,922.4
Melaka,female,2018,458.9
Melaka,Male,2018,463.6
Melaka,Both,2019,928.4
Melaka,female,2019,462.5
Melaka,Male,2019,465.9
Melaka,Both,2020,998.4
Melaka,female,2020,473.5
Melaka,Male,2020,524.9
Melaka,Both,2021,1004.5
Melaka,female,2021,477.1
